AAPL
AE38
AL29
AL30
AL35
AL41
AMD
AMZN
AY24
BABA
BIDU
BRKB
DIA
DIA
DISN
EEM
GD29
GD30
GD35
GD38
GD41
GD46
GOLD
GOOGL
INTC
KO
MELI
MRK
MSFT
MTR
NVDA
PBR
QCOM
QQQ
S31O3
SPY
TSLA
X18O3
XLE
XOM
